x,y,z
7.599039304650468,0.9401810959844816,-8.85259012924273
-9.391178796470314,5.206900431965629,6.0181250564947355
-8.874300663942499,3.525071429035851,4.5634670460769495
-8.71530878782545,-5.814351969690243,4.395435099617615
8.49516163070194,6.995708968131073,-1.4387727191954642
-6.589931294896636,-0.39774501544268404,-4.291375840469918
0.6165752494642991,3.646498650779632,1.6254034753473938
-9.833397281342382,-1.1269503085765251,5.773222364324708
-1.0982337318905326,8.535436555177348,4.379435842817465
-7.254961730915084,2.8623901431038963,7.552238171008774
9.377943429409374,-3.0946641724740465,-3.949568723944026
-1.5484164566523688,-8.049120616262467,9.490187014654502
-0.6886482670532175,7.887591028363566,-3.8966864979335707
1.6025041260186157,7.977642152059584,2.487465377861426
-9.072671301086764,8.020342687005279,-8.09599895895795
4.125016243131093,-5.189754414771201,8.3790454506893
-1.4225567245652986,1.9016990869576453,-2.563713670417
-3.0298662551072812,-4.221659190389664,0.5957173117373067
-8.829188710434494,3.6643451816085655,-4.070536475500736
-4.206590321858914,-7.324982480528135,-2.647732950496316
